OrderDetailsID,OrderID,ProductID,Discount,Quantity
OD000001,CA-2016-152156,FUR-BO-10001798,0.0,2
OD000002,CA-2016-152156,FUR-CH-10000454,0.0,3
OD000003,CA-2016-138688,OFF-LA-10000240,0.0,2
OD000004,US-2015-108966,FUR-TA-10000577,0.45,5
OD000005,US-2015-108966,OFF-ST-10000760,0.2,2
OD000006,CA-2014-115812,FUR-FU-10001487,0.0,7
OD000007,CA-2014-115812,OFF-AR-10002833,0.0,4
OD000008,CA-2014-115812,TEC-PH-10002275,0.2,6
OD000009,CA-2014-115812,OFF-BI-10003910,0.2,3
OD000010,CA-2014-115812,OFF-AP-10002892,0.0,5
OD000011,CA-2014-115812,FUR-TA-10001539,0.2,9
OD000012,CA-2014-115812,TEC-PH-10002033,0.2,4
OD000013,CA-2017-114412,OFF-PA-10002365,0.2,3
OD000014,CA-2016-161389,OFF-BI-10003656,0.2,3
OD000015,US-2015-118983,OFF-AP-10002311,0.8,5
OD000016,US-2015-118983,OFF-BI-10000756,0.8,3
OD000017,CA-2014-105893,OFF-ST-10004186,0.0,6
OD000018,CA-2014-167164,OFF-ST-10000107,0.0,2
OD000019,CA-2014-143336,OFF-AR-10003056,0.0,2
OD000020,CA-2014-143336,TEC-PH-10001949,0.2,3
OD000021,CA-2014-143336,OFF-BI-10002215,0.2,4
OD000022,CA-2016-137330,OFF-AR-10000246,0.0,7
OD000023,CA-2016-137330,OFF-AP-10001492,0.0,7
OD000024,US-2017-156909,FUR-CH-10002774,0.3,2
OD000025,CA-2015-106320,FUR-TA-10000577,0.0,3
OD000026,CA-2016-121755,OFF-BI-10001634,0.2,2
OD000027,CA-2016-121755,TEC-AC-10003027,0.0,3
OD000028,US-2015-150630,FUR-BO-10004834,0.5,7
OD000029,US-2015-150630,OFF-BI-10000474,0.7,2
OD000030,US-2015-150630,FUR-FU-10004848,0.2,3
OD000031,US-2015-150630,OFF-EN-10001509,0.2,2
OD000032,US-2015-150630,OFF-AR-10004042,0.2,6
OD000033,US-2015-150630,OFF-BI-10001525,0.7,6
OD000034,US-2015-150630,OFF-AR-10001683,0.2,2
OD000035,CA-2017-107727,OFF-PA-10000249,0.2,3
OD000036,CA-2016-117590,TEC-PH-10004977,0.2,7
OD000037,CA-2016-117590,FUR-FU-10003664,0.6,5
OD000038,CA-2015-117415,OFF-EN-10002986,0.2,9
OD000039,CA-2015-117415,FUR-BO-10002545,0.32,3
OD000040,CA-2015-117415,FUR-CH-10004218,0.3,3
OD000041,CA-2015-117415,TEC-PH-10000486,0.2,4
OD000042,CA-2017-120999,TEC-PH-10004093,0.2,4
OD000043,CA-2016-101343,OFF-ST-10003479,0.0,2
OD000044,CA-2017-139619,OFF-ST-10003282,0.2,2
OD000045,CA-2016-118255,TEC-AC-10000171,0.0,2
OD000046,CA-2016-118255,OFF-BI-10003291,0.0,2
OD000047,CA-2014-146703,OFF-ST-10001713,0.0,4
OD000048,CA-2016-169194,TEC-AC-10002167,0.0,3
OD000049,CA-2016-169194,TEC-PH-10003988,0.0,2
OD000050,CA-2015-115742,OFF-BI-10004410,0.0,6
OD000051,CA-2015-115742,OFF-LA-10002762,0.0,6
OD000052,CA-2015-115742,FUR-FU-10001706,0.0,2
OD000053,CA-2015-115742,FUR-CH-10003061,0.0,1
OD000054,CA-2016-105816,OFF-FA-10000304,0.0,7
OD000055,CA-2016-105816,TEC-PH-10002447,0.0,5
