OrderID,OrderDate,ShipDate,ShipMode,AddressID,CustomerID
CA-2016-152156,2016-11-08,2016-11-11,Second Class,A000001,CG-12520
CA-2016-138688,2016-06-12,2016-06-16,Second Class,A000002,DV-13045
US-2015-108966,2015-10-11,2015-10-18,Standard Class,A000003,SO-20335
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,A000004,BH-11710
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,A000005,AA-10480
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,A000006,IM-15070
US-2015-118983,2015-11-22,2015-11-26,Standard Class,A000007,HP-14815
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,A000008,PK-19075
CA-2014-167164,2014-05-13,2014-05-15,Second Class,A000009,AG-10270
CA-2014-143336,2014-08-27,2014-09-01,Second Class,A000010,ZD-21925
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,A000011,KB-16585
US-2017-156909,2017-07-16,2017-07-18,Second Class,A000012,SF-20065
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,A000013,EB-13870
CA-2016-121755,2016-01-16,2016-01-20,Second Class,A000014,EH-13945
US-2015-150630,2015-09-17,2015-09-21,Standard Class,A000015,TB-21520
CA-2017-107727,2017-10-19,2017-10-23,Second Class,A000016,MA-17560
CA-2016-117590,2016-12-08,2016-12-10,First Class,A000017,GH-14485
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,A000018,SN-20710
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,A000019,LC-16930
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,A000020,RA-19885
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,A000021,ES-14080
CA-2016-118255,2016-03-11,2016-03-13,First Class,A000022,ON-18715
CA-2014-146703,2014-10-20,2014-10-25,Second Class,A000023,PO-18865
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,A000024,LH-16900
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,A000025,DP-13000
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,A000026,JM-15265
CA-2016-111682,2016-06-17,2016-06-18,First Class,A000027,TB-21055
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,A000028,KM-16720
US-2015-164175,2015-04-30,2015-05-05,Standard Class,A000029,PS-18970
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,A000030,BS-11590
CA-2016-119823,2016-06-04,2016-06-06,First Class,A000031,KD-16270
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,A000032,HM-14980
CA-2017-114440,2017-09-14,2017-09-17,Second Class,A000033,TB-21520
US-2015-134026,2015-04-26,2015-05-02,Standard Class,A000034,JE-15745
US-2017-118038,2017-12-09,2017-12-11,First Class,A000035,KB-16600
US-2014-147606,2014-11-26,2014-12-01,Second Class,A000036,JE-15745
CA-2016-127208,2016-06-12,2016-06-15,First Class,A000037,SC-20770
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,A000038,DN-13690
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,A000039,JC-16105
US-2017-119662,2017-11-13,2017-11-16,First Class,A000040,CS-12400
CA-2017-140088,2017-05-28,2017-05-30,Second Class,A000041,PO-18865
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,A000042,PG-18895
CA-2016-159695,2016-04-05,2016-04-10,Second Class,A000043,GM-14455
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,A000044,JS-15685
CA-2015-149587,2015-01-31,2015-02-05,Second Class,A000045,KB-16315
US-2017-109484,2017-11-06,2017-11-12,Standard Class,A000046,RB-19705
CA-2017-161018,2017-11-09,2017-11-11,Second Class,A000047,PN-18775
CA-2017-157833,2017-06-17,2017-06-20,First Class,A000048,KD-16345
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,A000049,ER-13855
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,A000050,RB-19465
CA-2016-129903,2016-12-01,2016-12-04,Second Class,A000051,GZ-14470
US-2015-156867,2015-11-13,2015-11-17,Standard Class,A000052,LC-16870
CA-2017-119004,2017-11-23,2017-11-28,Standard Class,A000053,JM-15250
CA-2015-129476,2015-10-15,2015-10-20,Standard Class,A000054,PA-19060
CA-2017-146780,2017-12-25,2017-12-30,Standard Class,A000055,CV-12805
CA-2016-128867,2016-11-03,2016-11-10,Standard Class,A000056,CL-12565
CA-2014-115259,2014-08-25,2014-08-27,Second Class,A000057,RC-19960
CA-2015-110457,2015-03-02,2015-03-06,Standard Class,A000058,DK-13090
US-2015-136476,2015-04-05,2015-04-10,Standard Class,A000059,GG-14650
CA-2016-103730,2016-06-12,2016-06-15,First Class,A000060,SC-20725
US-2014-152030,2014-12-26,2014-12-28,Second Class,A000061,AD-10180
US-2014-134614,2014-09-20,2014-09-25,Standard Class,A000062,PF-19165
US-2017-107272,2017-11-05,2017-11-12,Standard Class,A000063,TS-21610
US-2016-125969,2016-11-06,2016-11-10,Second Class,A000064,LS-16975
US-2017-164147,2017-02-02,2017-02-05,First Class,A000065,DW-13585
CA-2016-145583,2016-10-13,2016-10-19,Standard Class,A000066,LC-16885
CA-2016-110366,2016-09-05,2016-09-07,Second Class,A000067,JD-15895
CA-2017-106180,2017-09-18,2017-09-23,Standard Class,A000068,SH-19975
CA-2017-155376,2017-12-22,2017-12-27,Standard Class,A000069,SG-20080
CA-2015-110744,2015-09-07,2015-09-12,Standard Class,A000070,HA-14920
CA-2014-110072,2014-10-22,2014-10-28,Standard Class,A000071,MG-17680
CA-2016-114489,2016-12-05,2016-12-09,Standard Class,A000072,JE-16165
CA-2016-158834,2016-03-13,2016-03-16,First Class,A000073,TW-21025
CA-2015-124919,2015-05-31,2015-06-02,First Class,A000074,SP-20650
CA-2015-118948,2015-05-28,2015-06-03,Standard Class,A000075,NK-18490
CA-2014-104269,2014-03-01,2014-03-06,Second Class,A000076,DB-13060
CA-2016-114104,2016-11-20,2016-11-24,Standard Class,A000077,NP-18670
CA-2016-162733,2016-05-11,2016-05-12,First Class,A000078,TT-21070
CA-2015-119697,2015-12-28,2015-12-31,Second Class,A000079,EM-13960
CA-2016-154508,2016-11-16,2016-11-20,Standard Class,A000080,RD-19900
CA-2016-113817,2016-11-07,2016-11-11,Standard Class,A000081,MJ-17740
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,A000082,BM-11140
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,A000083,CS-12130
US-2014-100853,2014-09-14,2014-09-19,Standard Class,A000084,JB-15400
US-2017-152366,2017-04-21,2017-04-25,Second Class,A000085,SJ-20500
US-2015-101511,2015-11-21,2015-11-23,Second Class,A000086,JE-15745
CA-2015-137225,2015-12-15,2015-12-19,Standard Class,A000087,JK-15640
CA-2014-166191,2014-12-05,2014-12-09,Second Class,A000088,DK-13150
CA-2014-158274,2014-11-19,2014-11-24,Second Class,A000089,RM-19675
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,A000090,SK-19990
CA-2014-123260,2014-08-26,2014-08-30,Standard Class,A000091,FM-14290
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,A000092,AM-10360
