ShipID,ShipDate,ShipMode,CustomerID,ProductID
1,11/11/2016,Second Class,CG-12520,FUR-BO-10001798
2,11/11/2016,Second Class,CG-12520,FUR-CH-10000454
3,6/16/2016,Second Class,DV-13045,OFF-LA-10000240
4,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577
5,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760
6,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487
7,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833
8,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275
9,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910
10,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892
11,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539
12,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033
13,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365
14,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656
15,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311
16,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756
17,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186
18,5/15/2014,Second Class,AG-10270,OFF-ST-10000107
19,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056
20,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949
21,9/1/2014,Second Class,ZD-21925,OFF-BI-10002215
22,12/13/2016,Standard Class,KB-16585,OFF-AR-10000246
23,12/13/2016,Standard Class,KB-16585,OFF-AP-10001492
24,7/18/2017,Second Class,SF-20065,FUR-CH-10002774
25,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577
26,1/20/2016,Second Class,EH-13945,OFF-BI-10001634
27,1/20/2016,Second Class,EH-13945,TEC-AC-10003027
28,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834
29,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474
30,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848
31,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509
32,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042
33,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525
34,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683
35,10/23/2017,Second Class,MA-17560,OFF-PA-10000249
36,12/10/2016,First Class,GH-14485,TEC-PH-10004977
37,12/10/2016,First Class,GH-14485,FUR-FU-10003664
38,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986
39,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545
40,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218
41,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486
42,9/15/2017,Standard Class,LC-16930,TEC-PH-10004093
43,7/22/2016,Standard Class,RA-19885,OFF-ST-10003479
44,9/23/2017,Standard Class,ES-14080,OFF-ST-10003282
45,3/13/2016,First Class,ON-18715,TEC-AC-10000171
46,3/13/2016,First Class,ON-18715,OFF-BI-10003291
47,10/25/2014,Second Class,PO-18865,OFF-ST-10001713
48,6/25/2016,Standard Class,LH-16900,TEC-AC-10002167
49,6/25/2016,Standard Class,LH-16900,TEC-PH-10003988
50,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410
51,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762
52,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706
53,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061
54,12/17/2016,Standard Class,JM-15265,OFF-FA-10000304
55,12/17/2016,Standard Class,JM-15265,TEC-PH-10002447
56,6/18/2016,First Class,TB-21055,OFF-ST-10000604
57,6/18/2016,First Class,TB-21055,OFF-PA-10001569
58,6/18/2016,First Class,TB-21055,FUR-CH-10003968
59,6/18/2016,First Class,TB-21055,OFF-PA-10000587
60,6/18/2016,First Class,TB-21055,TEC-AC-10002167
61,6/18/2016,First Class,TB-21055,OFF-BI-10001460
62,6/18/2016,First Class,TB-21055,OFF-AR-10001868
63,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633
64,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078
65,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892
66,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397
67,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146
68,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671
69,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726
70,6/6/2016,First Class,KD-16270,OFF-PA-10000482
71,9/23/2016,Standard Class,HM-14980,OFF-BI-10004654
72,9/17/2017,Second Class,TB-21520,OFF-PA-10004675
73,5/2/2015,Standard Class,JE-15745,FUR-CH-10000513
74,5/2/2015,Standard Class,JE-15745,FUR-FU-10003708
75,5/2/2015,Standard Class,JE-15745,OFF-ST-10004123
76,12/11/2017,First Class,KB-16600,OFF-BI-10004182
77,12/11/2017,First Class,KB-16600,FUR-FU-10000260
78,12/11/2017,First Class,KB-16600,OFF-ST-10000615
79,12/1/2014,Second Class,JE-15745,FUR-FU-10003194
80,6/15/2016,First Class,SC-20770,OFF-AP-10002118
81,6/15/2016,First Class,SC-20770,OFF-BI-10002309
82,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053
83,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370
84,9/8/2015,Standard Class,JC-16105,OFF-EN-10000927
85,11/16/2017,First Class,CS-12400,OFF-ST-10003656
86,5/30/2017,Second Class,PO-18865,FUR-CH-10000863
87,11/2/2017,Standard Class,PG-18895,TEC-AC-10001998
88,11/2/2017,Standard Class,PG-18895,OFF-LA-10000134
89,4/10/2016,Second Class,GM-14455,OFF-ST-10003442
90,9/22/2016,Standard Class,JS-15685,OFF-AR-10004930
